"play_video"
"pause_video"
"speed_change_video"
"seek_video"
"problem_check"
"problem_rescore"
"problem_check_fail"
"problem_rescore_fail"
"problem_reset"
"problem_save"
"problem_show"
"reset_problem"
"reset_problem"
"reset_problem_fail"
"show_answer"
"save_problem_succes"
